address,area,constraction_year,rooms,bedrooms,bathrooms,balcony,storage,parking,furnished,garage,garden,energy,facilities,zip,neighborhood,rent
1011 AZ Amsterdam (Scheepvaarthuisbuurt),90.0,1905,2,1,2,no,no,no,yes,no,Not present,B,"Roof terrace, Shower, Toilet",1011 AZ,Scheepvaarthuisbuurt,1900
1011 AZ Amsterdam (Scheepvaarthuisbuurt),50.0,1933,3,2,1,yes,no,no,yes,no,Not present,C,"Shower, Toilet",1011 AZ,Scheepvaarthuisbuurt,1995
1011 AZ Amsterdam (Scheepvaarthuisbuurt),90.0,1905,2,1,2,no,no,no,yes,no,Not present,B,"Roof terrace, Shower, Toilet",1011 AZ,Scheepvaarthuisbuurt,1750
1011 HE Amsterdam (Zuiderkerkbuurt),75.0,1905,3,2,1,no,no,no,yes,no,Not present,None,Shower,1011 HE,Zuiderkerkbuurt,1850
1011 HE Amsterdam (Zuiderkerkbuurt),75.0,1905,3,2,1,no,no,no,yes,no,Not present,None,Shower,1011 HE,Zuiderkerkbuurt,1750
1011 LM Amsterdam (Uilenburg),110.0,1005,3,2,1,yes,no,no,yes,no,Not present,G,"Lift, Bath, Toilet",1011 LM,Uilenburg,2350
1011 TJ Amsterdam (Rapenburg),64.0,1906,2,1,1,no,no,no,yes,no,Not present,E,"Internet connection, Roof terrace, Shower, Bath, Toilet",1011 TJ,Rapenburg,1950
1011 TJ Amsterdam (Rapenburg),64.0,1906,2,1,1,no,no,no,yes,no,Not present,E,"Internet connection, Roof terrace, Shower, Bath, Toilet",1011 TJ,Rapenburg,1950
1011 TV Amsterdam (Rapenburg),102.0,2000,3,2,1,no,no,no,yes,no,Not present,C,"Shower, Toilet",1011 TV,Rapenburg,2450
1011 TV Amsterdam (Rapenburg),102.0,2000,3,2,1,no,no,no,yes,no,Not present,C,"Shower, Toilet",1011 TV,Rapenburg,2250
1011 TM Amsterdam (Rapenburg),47.0,1911,2,1,1,no,no,no,yes,no,Not present,C,"Bath, Toilet",1011 TM,Rapenburg,1650
1011 BH Amsterdam (Scheepvaarthuisbuurt),76.0,1884,2,1,1,no,no,no,yes,no,Present (15 m²),None,Toilet,1011 BH,Scheepvaarthuisbuurt,1900
1011 BH Amsterdam (Scheepvaarthuisbuurt),92.0,1884,3,2,1,yes,no,no,yes,no,Not present,None,"Roof terrace, Bath, Toilet",1011 BH,Scheepvaarthuisbuurt,2525
1011 BH Amsterdam (Scheepvaarthuisbuurt),76.0,1884,2,1,1,no,no,no,yes,no,Present (15 m²),None,Toilet,1011 BH,Scheepvaarthuisbuurt,1900
1011 BS Amsterdam (Lastage),50.0,1750,2,1,1,no,no,yes,no,no,Not present,None,Toilet,1011 BS,Lastage,1500
1011 NA Amsterdam (Uilenburg),90.0,2014,3,2,2,yes,no,yes,yes,no,Not present,A,"Swimming pool, Lift, Air-conditioning, Shower, Bath, Toilet",1011 NA,Uilenburg,3000
1011 NA Amsterdam (Uilenburg),90.0,2014,3,2,2,yes,no,yes,yes,yes,Not present,A,"Cable TV, Internet connection, Swimming pool, Lift, Air-conditioning, Shower, Bath, Toilet",1011 NA,Uilenburg,2600
1011 NA Amsterdam (Uilenburg),180.0,2014,5,4,2,no,no,yes,no,yes,Not present,A,"Swimming pool, Lift",1011 NA,Uilenburg,5000
1011 NA Amsterdam (Uilenburg),90.0,2014,3,2,2,no,no,yes,yes,yes,Not present,A,"Swimming pool, Lift, Air-conditioning, Shower, Bath, Toilet",1011 NA,Uilenburg,2750
1011 NA Amsterdam (Uilenburg),90.0,2014,3,2,2,yes,no,yes,yes,yes,Not present,A,"Cable TV, Internet connection, Swimming pool, Lift, Air-conditioning, Shower, Bath, Toilet",1011 NA,Uilenburg,2600
1011 NA Amsterdam (Uilenburg),180.0,2014,5,4,2,no,no,yes,no,yes,Not present,A,"Swimming pool, Lift",1011 NA,Uilenburg,5000
1011 NA Amsterdam (Uilenburg),171.0,2014,5,4,2,yes,yes,yes,no,yes,Not present,A,"Lift, Storage space, Roof terrace, Shower, Bath, Toilet",1011 NA,Uilenburg,4500
1011 NA Amsterdam (Uilenburg),91.0,2014,3,2,2,no,no,no,yes,no,Not present,A,"Shower, Bath",1011 NA,Uilenburg,2950
1011 NA Amsterdam (Uilenburg),90.0,2014,3,2,2,yes,yes,yes,yes,yes,Not present,A,"Swimming pool, Lift, Air-conditioning, Storage space, Shower, Bath, Toilet",1011 NA,Uilenburg,2600
1011 NA Amsterdam (Uilenburg),91.0,2014,3,2,2,yes,no,no,yes,no,Not present,A,"Lift, Shower, Bath, Toilet",1011 NA,Uilenburg,2550
1011 NA Amsterdam (Uilenburg),170.0,2014,5,4,2,yes,yes,yes,no,yes,Not present,A+,"Swimming pool, Lift, Storage space, Roof terrace, Shower, Bath, Toilet",1011 NA,Uilenburg,5000
1011 DG Amsterdam (Oosterdokseiland),53.0,2012,2,1,1,no,no,yes,yes,no,Not present,A,None,1011 DG,Oosterdokseiland,1500
1011 DG Amsterdam (Oosterdokseiland),60.0,1900,2,1,1,no,no,no,yes,no,Not present,A,None,1011 DG,Oosterdokseiland,1500
1011 DG Amsterdam (Oosterdokseiland),109.0,2012,2,1,1,yes,yes,yes,yes,yes,Not present,None,"Lift, Storage space, Shower, Toilet",1011 DG,Oosterdokseiland,3000
1011 DG Amsterdam (Oosterdokseiland),53.0,2012,2,1,1,no,no,yes,yes,no,Not present,A,None,1011 DG,Oosterdokseiland,1500
1011 DG Amsterdam (Oosterdokseiland),90.0,2013,3,2,1,yes,yes,yes,yes,yes,Not present,A,"Lift, Storage space, Shower, Toilet",1011 DG,Oosterdokseiland,1800
1011 DG Amsterdam (Oosterdokseiland),60.0,1900,2,1,1,no,no,no,yes,no,Not present,A,None,1011 DG,Oosterdokseiland,1300
1011 JV Amsterdam (Zuiderkerkbuurt),80.0,1905,3,2,1,no,no,no,yes,no,Not present,None,"Bath, Toilet",1011 JV,Zuiderkerkbuurt,2100
1011 JV Amsterdam (Zuiderkerkbuurt),80.0,1905,3,2,1,no,no,no,yes,no,Not present,None,"Bath, Toilet",1011 JV,Zuiderkerkbuurt,2100
1011 JV Amsterdam (Zuiderkerkbuurt),56.0,1850,2,1,1,no,no,no,yes,no,Not present,None,Bath,1011 JV,Zuiderkerkbuurt,1750
1011 RJ Amsterdam (Waterloopleinbuurt),115.0,1005,5,4,1,no,no,no,yes,no,Not present,None,Bath,1011 RJ,Waterloopleinbuurt,2500
1011 RJ Amsterdam (Waterloopleinbuurt),115.0,1005,5,4,1,no,no,no,yes,no,Not present,None,Bath,1011 RJ,Waterloopleinbuurt,2250
1011 BD Amsterdam (Scheepvaarthuisbuurt),62.0,1906,3,2,1,no,no,no,yes,no,Not present,B,"Bath, Toilet",1011 BD,Scheepvaarthuisbuurt,2200
1011 BD Amsterdam (Scheepvaarthuisbuurt),62.0,1906,3,2,1,no,no,no,yes,no,Not present,B,"Bath, Toilet",1011 BD,Scheepvaarthuisbuurt,2200
1011 VK Amsterdam (Valkenburg),57.0,1964,2,1,1,no,no,no,yes,no,Not present,None,Toilet,1011 VK,Valkenburg,1800
1011 VK Amsterdam (Valkenburg),62.0,1964,2,1,1,yes,no,no,yes,no,Not present,None,"Bath, Toilet",1011 VK,Valkenburg,2100
1011 VK Amsterdam (Valkenburg),57.0,1964,2,1,1,no,no,no,yes,no,Not present,None,Toilet,1011 VK,Valkenburg,1800
1011 JN Amsterdam (Zuiderkerkbuurt),120.0,1905,3,2,1,no,yes,no,yes,no,Not present,None,Storage space,1011 JN,Zuiderkerkbuurt,1900
1011 JN Amsterdam (Zuiderkerkbuurt),100.0,1905,4,3,1,no,no,no,yes,no,Not present,None,Bath,1011 JN,Zuiderkerkbuurt,2100
1011 JN Amsterdam (Zuiderkerkbuurt),120.0,1905,3,2,1,no,yes,no,yes,no,Not present,None,Storage space,1011 JN,Zuiderkerkbuurt,1900
1011 JN Amsterdam (Zuiderkerkbuurt),100.0,1905,4,3,1,no,no,no,yes,no,Not present,None,Bath,1011 JN,Zuiderkerkbuurt,1850
1011 BT Amsterdam (Lastage),70.0,1682,2,1,1,yes,no,yes,yes,no,Not present,None,None,1011 BT,Lastage,1750
1011 BT Amsterdam (Lastage),70.0,1682,2,1,1,yes,no,yes,yes,no,Not present,None,None,1011 BT,Lastage,1500
1011 EM Amsterdam (Lastage),200.0,1600,4,3,1,no,no,no,yes,no,Not present,None,Toilet,1011 EM,Lastage,2750
1011 EM Amsterdam (Lastage),200.0,1600,4,3,1,no,no,no,yes,no,Not present,None,Toilet,1011 EM,Lastage,2750
1011 HJ Amsterdam (Zuiderkerkbuurt),66.0,1960,3,2,1,no,no,no,yes,no,Not present,D,"Shower, Toilet",1011 HJ,Zuiderkerkbuurt,2550
1011 HJ Amsterdam (Zuiderkerkbuurt),77.0,1960,2,1,1,no,yes,no,yes,no,Not present,D,"Storage space, Shower",1011 HJ,Zuiderkerkbuurt,2650
1011 JH Amsterdam (Zuiderkerkbuurt),107.0,1900,3,2,2,no,yes,no,yes,no,Not present,C,"Storage space, Shower, Toilet",1011 JH,Zuiderkerkbuurt,2950
1011 JH Amsterdam (Zuiderkerkbuurt),125.0,1905,3,2,2,no,no,yes,yes,yes,Not present,C,"Shower, Toilet",1011 JH,Zuiderkerkbuurt,2500
1011 JH Amsterdam (Zuiderkerkbuurt),107.0,1900,3,2,2,no,yes,no,yes,no,Not present,C,"Storage space, Shower, Toilet",1011 JH,Zuiderkerkbuurt,2500
1011 NC Amsterdam (Uilenburg),100.0,2007,3,2,1,yes,yes,yes,yes,yes,Not present,None,"Lift, Storage space, Shower, Toilet",1011 NC,Uilenburg,2700
1011 NC Amsterdam (Uilenburg),85.0,2007,3,2,1,yes,no,yes,yes,yes,Not present,A,Toilet,1011 NC,Uilenburg,2200
1011 NC Amsterdam (Uilenburg),88.0,2006,3,2,1,no,no,yes,yes,yes,Not present,A,"Lift, Shower, Toilet",1011 NC,Uilenburg,2450
1011 NC Amsterdam (Uilenburg),88.0,2006,3,2,1,yes,no,yes,yes,yes,Not present,A,"Lift, Shower, Toilet",1011 NC,Uilenburg,2450
1011 NC Amsterdam (Uilenburg),85.0,2007,3,2,1,yes,no,yes,yes,yes,Not present,A,"Air-conditioning, Shower, Toilet",1011 NC,Uilenburg,2000
1011 NC Amsterdam (Uilenburg),100.0,2007,3,2,1,yes,yes,yes,yes,yes,Not present,None,"Lift, Storage space, Shower, Toilet",1011 NC,Uilenburg,2700
1011 MR Amsterdam (Valkenburg),70.0,1998,3,2,1,no,no,no,yes,no,Not present,None,"Lift, Shower",1011 MR,Valkenburg,1800
1011 MR Amsterdam (Valkenburg),70.0,1998,3,2,1,no,no,no,yes,no,Not present,None,"Lift, Shower",1011 MR,Valkenburg,1700
1011 LD Amsterdam (Nieuwmarkt),190.0,1934,4,3,1,no,no,no,yes,no,Not present,None,Toilet,1011 LD,Nieuwmarkt,6900
1011 HC Amsterdam (Zuiderkerkbuurt),82.0,1890,3,2,1,no,no,no,yes,no,Not present,C,"Shower, Bath",1011 HC,Zuiderkerkbuurt,2340
1011 LZ Amsterdam (Uilenburg),88.0,2001,3,2,1,yes,yes,yes,yes,yes,Not present,B,"Storage space, Shower, Toilet",1011 LZ,Uilenburg,2100
1011 LZ Amsterdam (Uilenburg),88.0,2001,3,2,1,yes,yes,yes,yes,yes,Not present,B,"Storage space, Shower, Toilet",1011 LZ,Uilenburg,2100
1011 KC Amsterdam (Zuiderkerkbuurt),25.0,1906,2,1,2,no,no,yes,yes,no,Not present,C,"Internet connection, Shower, Toilet",1011 KC,Zuiderkerkbuurt,1050
1011 HW Amsterdam (Zuiderkerkbuurt),65.0,1790,2,1,1,yes,no,no,yes,no,Not present,None,Toilet,1011 HW,Zuiderkerkbuurt,1650
1011 TZ Amsterdam (Rapenburg),85.0,2007,3,2,1,no,no,no,yes,no,Not present,A,None,1011 TZ,Rapenburg,2350
1011 MG Amsterdam (Valkenburg),105.0,1998,3,2,1,yes,yes,yes,yes,yes,Not present,B,"Lift, Storage space, Bath",1011 MG,Valkenburg,1850
1011 VJ Amsterdam (Valkenburg),50.0,1960,2,1,1,no,yes,no,yes,no,Not present,D,"Lift, Storage space, Roof terrace",1011 VJ,Valkenburg,1600
1011 JK Amsterdam (Zuiderkerkbuurt),44.0,1900,2,1,1,no,no,no,no,no,Not present,A,None,1011 JK,Zuiderkerkbuurt,1450
1011 JK Amsterdam (Zuiderkerkbuurt),63.0,1900,3,2,1,no,no,no,no,no,Not present,A,Toilet,1011 JK,Zuiderkerkbuurt,2025
1011 JK Amsterdam (Zuiderkerkbuurt),45.0,1900,2,1,1,no,no,no,no,no,Not present,A,None,1011 JK,Zuiderkerkbuurt,1450
1011 NS Amsterdam (Waterloopleinbuurt),65.0,2002,2,1,1,yes,yes,no,yes,no,Not present,None,"Lift, Storage space, Bath",1011 NS,Waterloopleinbuurt,1750
1011 HT Amsterdam (Zuiderkerkbuurt),52.0,1900,2,1,1,no,no,no,no,no,Not present,None,"Shower, Toilet",1011 HT,Zuiderkerkbuurt,1650
1011 AB Amsterdam (Oosterdokseiland),83.0,1884,3,2,1,no,no,no,yes,no,Not present,None,None,1011 AB,Oosterdokseiland,2450
1011 CC Amsterdam (Lastage),100.0,1770,3,2,1,no,no,no,yes,no,Not present,None,"Fireplace, Toilet",1011 CC,Lastage,2400
1011 EW Amsterdam (Nieuwmarkt),135.0,1740,5,4,2,no,no,no,yes,no,Not present,None,Toilet,1011 EW,Nieuwmarkt,3000
1011 CD Amsterdam (Lastage),60.0,1905,2,1,1,no,no,no,yes,no,Not present,None,None,1011 CD,Lastage,1500
1011 HS Amsterdam (Zuiderkerkbuurt),125.0,1890,4,3,2,no,no,no,yes,no,Not present,D,"Fireplace, Roof terrace, Shower, Bath, Toilet",1011 HS,Zuiderkerkbuurt,3500
1011 DL Amsterdam (Oosterdokseiland),100.0,2012,3,2,1,yes,no,no,yes,no,Not present,None,"Lift, Bath, Toilet",1011 DL,Oosterdokseiland,2750
1082 JE Amsterdam (Buitenveldert Midden Zuid),87.0,1964,3,2,1,yes,no,no,yes,no,Not present,None,None,1082 JE,Buitenveldert Midden Zuid,2000
1082 JE Amsterdam (Buitenveldert Midden Zuid),87.0,1964,4,3,1,yes,no,no,yes,no,Not present,D,None,1082 JE,Buitenveldert Midden Zuid,2000
1082 EW Amsterdam (Buitenveldert Midden Zuid),80.0,1962,4,3,1,no,no,no,yes,no,Not present,F,None,1082 EW,Buitenveldert Midden Zuid,1850
1082 JT Amsterdam (Gelderlandpleinbuurt),62.0,1963,2,1,1,yes,no,no,yes,no,Not present,None,"Lift, Shower, Toilet",1082 JT,Gelderlandpleinbuurt,1550
1082 JT Amsterdam (Gelderlandpleinbuurt),62.0,1963,2,1,1,yes,no,no,yes,no,Not present,None,"Lift, Shower, Toilet",1082 JT,Gelderlandpleinbuurt,1600
1082 MK Amsterdam (Zuidas Zuid),132.0,2019,3,2,2,yes,yes,yes,yes,yes,Not present,A,"Lift, Storage space, Shower, Toilet",1082 MK,Zuidas Zuid,5500
1082 MK Amsterdam (Zuidas Zuid),41.0,2020,2,1,1,no,no,no,yes,no,Not present,None,"Lift, Toilet",1082 MK,Zuidas Zuid,1371
1082 MK Amsterdam (Zuidas Zuid),49.0,2020,2,1,1,no,no,no,yes,no,Not present,A,"Lift, Toilet",1082 MK,Zuidas Zuid,1500
1082 MK Amsterdam (Zuidas Zuid),65.0,2016,2,1,1,no,yes,no,yes,no,Not present,A,"Lift, Storage space, Shower, Toilet",1082 MK,Zuidas Zuid,1950
1082 MK Amsterdam (Zuidas Zuid),110.0,2016,3,2,3,yes,no,yes,yes,yes,Not present,A,"Lift, Roof terrace, Shower, Toilet",1082 MK,Zuidas Zuid,3500
1082 MK Amsterdam (Zuidas Zuid),48.0,2020,2,1,1,yes,no,no,yes,no,Not present,None,"Lift, Roof terrace, Shower",1082 MK,Zuidas Zuid,1950
1082 MK Amsterdam (Zuidas Zuid),150.0,2013,3,2,2,no,no,yes,no,yes,Not present,A,"Bath, Toilet",1082 MK,Zuidas Zuid,4750
1082 MK Amsterdam (Zuidas Zuid),132.0,2019,3,2,2,yes,yes,yes,yes,yes,Not present,A,"Lift, Storage space, Shower, Toilet",1082 MK,Zuidas Zuid,5500
1082 MK Amsterdam (Zuidas Zuid),65.0,2016,2,1,1,no,yes,no,yes,no,Not present,A,"Lift, Storage space, Shower, Toilet",1082 MK,Zuidas Zuid,1950
1082 MK Amsterdam (Zuidas Zuid),110.0,2016,3,2,3,yes,no,yes,yes,yes,Not present,A,"Lift, Roof terrace, Shower, Toilet",1082 MK,Zuidas Zuid,3500
1082 VZ Amsterdam (Gelderlandpleinbuurt),67.0,1963,4,3,1,yes,yes,yes,no,no,Not present,D,"Storage space, Toilet",1082 VZ,Gelderlandpleinbuurt,2050
1082 JX Amsterdam (Gelderlandpleinbuurt),60.0,2010,2,1,1,yes,yes,yes,yes,no,Not present,A++,"Storage space, Shower, Toilet",1082 JX,Gelderlandpleinbuurt,1600
1082 JX Amsterdam (Gelderlandpleinbuurt),62.0,1960,2,1,1,no,no,yes,yes,no,Not present,None,None,1082 JX,Gelderlandpleinbuurt,1450
1082 MZ Amsterdam (Zuidas Zuid),80.0,2019,3,2,1,yes,no,yes,yes,yes,Not present,A,Toilet,1082 MZ,Zuidas Zuid,2500
1082 MZ Amsterdam (Zuidas Zuid),45.0,2019,2,1,1,no,no,yes,no,no,Present (25 m²),A,"Roof terrace, Shower, Toilet",1082 MZ,Zuidas Zuid,1625
1082 MZ Amsterdam (Zuidas Zuid),149.0,2015,4,3,2,yes,no,no,yes,no,Not present,A,"Lift, Shower, Bath, Toilet",1082 MZ,Zuidas Zuid,4900
1082 MZ Amsterdam (Zuidas Zuid),82.0,2020,3,2,1,no,no,no,no,no,Not present,A,"Lift, Shower",1082 MZ,Zuidas Zuid,2350
1082 MZ Amsterdam (Zuidas Zuid),78.0,2016,3,2,1,yes,yes,yes,no,yes,Not present,A,"Storage space, Shower, Toilet",1082 MZ,Zuidas Zuid,1995
1082 MZ Amsterdam (Zuidas Zuid),80.0,2019,3,2,1,yes,no,yes,yes,yes,Not present,A,Toilet,1082 MZ,Zuidas Zuid,2250
1082 MZ Amsterdam (Zuidas Zuid),45.0,2019,2,1,1,no,no,yes,yes,no,Present (12 m²),A,"Shower, Toilet",1082 MZ,Zuidas Zuid,1850
1082 MZ Amsterdam (Zuidas Zuid),48.0,2020,2,1,1,no,no,yes,yes,no,Not present,A,None,1082 MZ,Zuidas Zuid,2175
1082 MZ Amsterdam (Zuidas Zuid),45.0,2019,2,1,1,no,no,yes,no,no,Present (25 m²),A,"Roof terrace, Shower, Toilet",1082 MZ,Zuidas Zuid,1625
1082 MZ Amsterdam (Zuidas Zuid),149.0,2015,4,3,2,yes,no,no,yes,no,Not present,A,"Lift, Shower, Bath, Toilet",1082 MZ,Zuidas Zuid,4900
1082 MR Amsterdam (Zuidas Zuid),130.0,2017,3,2,1,yes,yes,no,yes,no,Not present,A,"Lift, Storage space, Shower, Toilet",1082 MR,Zuidas Zuid,3250
1082 MR Amsterdam (Zuidas Zuid),130.0,2017,3,2,1,yes,yes,no,yes,no,Not present,A,"Lift, Storage space, Shower, Toilet",1082 MR,Zuidas Zuid,3250
1082 GM Amsterdam (Gelderlandpleinbuurt),120.0,2003,4,3,1,yes,yes,no,yes,no,Not present,None,"Lift, Storage space, Shower",1082 GM,Gelderlandpleinbuurt,2500
1082 GM Amsterdam (Gelderlandpleinbuurt),194.0,1997,3,2,1,no,no,yes,no,yes,Not present,B,"Lift, Air-conditioning, Toilet",1082 GM,Gelderlandpleinbuurt,4400
1082 GM Amsterdam (Gelderlandpleinbuurt),194.0,1997,3,2,1,no,no,yes,no,yes,Not present,B,"Lift, Air-conditioning, Toilet",1082 GM,Gelderlandpleinbuurt,4400
1082 GM Amsterdam (Gelderlandpleinbuurt),116.0,1969,4,3,1,yes,no,no,no,no,Not present,A,"Bath, Toilet",1082 GM,Gelderlandpleinbuurt,2150
1082 CV Amsterdam (Buitenveldert Midden Zuid),67.0,2020,3,2,1,no,no,yes,yes,no,Not present,A++++,"Lift, Toilet",1082 CV,Buitenveldert Midden Zuid,1605
1082 CV Amsterdam (Buitenveldert Midden Zuid),82.0,2020,3,2,1,no,no,yes,yes,no,Not present,A++++,"Lift, Toilet",1082 CV,Buitenveldert Midden Zuid,1752
1082 CV Amsterdam (Buitenveldert Midden Zuid),67.0,2020,3,2,1,no,no,yes,yes,no,Not present,A++++,"Lift, Toilet",1082 CV,Buitenveldert Midden Zuid,1635
1082 CV Amsterdam (Buitenveldert Midden Zuid),82.0,2020,3,2,1,no,no,yes,yes,no,Not present,A++++,"Lift, Toilet",1082 CV,Buitenveldert Midden Zuid,1783
1082 CV Amsterdam (Buitenveldert Midden Zuid),78.0,2020,3,2,1,no,no,yes,yes,no,Not present,A++++,"Lift, Toilet",1082 CV,Buitenveldert Midden Zuid,1777
1082 CV Amsterdam (Buitenveldert Midden Zuid),67.0,2020,3,2,1,no,no,yes,yes,no,Not present,A++++,"Lift, Toilet",1082 CV,Buitenveldert Midden Zuid,1665
1082 CV Amsterdam (Buitenveldert Midden Zuid),66.0,2020,3,2,1,no,no,yes,yes,no,Not present,A++++,"Lift, Toilet",1082 CV,Buitenveldert Midden Zuid,1581
1082 CV Amsterdam (Buitenveldert Midden Zuid),66.0,2020,3,2,1,no,no,yes,yes,no,Not present,A++++,"Lift, Toilet",1082 CV,Buitenveldert Midden Zuid,1610
1082 CV Amsterdam (Buitenveldert Midden Zuid),78.0,2020,3,2,1,no,no,yes,yes,no,Not present,A++++,"Lift, Toilet",1082 CV,Buitenveldert Midden Zuid,1746
1082 CV Amsterdam (Buitenveldert Midden Zuid),66.0,2020,3,2,1,no,no,yes,yes,no,Not present,A++++,"Lift, Toilet",1082 CV,Buitenveldert Midden Zuid,1612
1082 CV Amsterdam (Buitenveldert Midden Zuid),82.0,2020,3,2,1,no,no,yes,yes,no,Not present,A++++,"Lift, Toilet",1082 CV,Buitenveldert Midden Zuid,1722
1082 CV Amsterdam (Buitenveldert Midden Zuid),66.0,2020,3,2,1,no,no,yes,yes,no,Not present,A++++,Lift,1082 CV,Buitenveldert Midden Zuid,1551
1082 CV Amsterdam (Buitenveldert Midden Zuid),78.0,2020,3,2,1,no,no,yes,yes,no,Not present,A++++,"Lift, Toilet",1082 CV,Buitenveldert Midden Zuid,1716
1082 CV Amsterdam (Buitenveldert Midden Zuid),114.0,2020,3,2,1,yes,no,yes,yes,no,Not present,A++++,"Lift, Roof terrace, Toilet",1082 CV,Buitenveldert Midden Zuid,2622
1082 CV Amsterdam (Buitenveldert Midden Zuid),67.0,2020,3,2,1,no,no,yes,no,yes,Not present,None,None,1082 CV,Buitenveldert Midden Zuid,1605
1082 CV Amsterdam (Buitenveldert Midden Zuid),82.0,2020,3,2,1,no,no,yes,yes,no,Not present,A++++,"Lift, Toilet",1082 CV,Buitenveldert Midden Zuid,1722
1082 CV Amsterdam (Buitenveldert Midden Zuid),67.0,2020,3,2,1,no,no,yes,yes,no,Not present,A++++,"Lift, Toilet",1082 CV,Buitenveldert Midden Zuid,1605
1082 TE Amsterdam (Gelderlandpleinbuurt),68.0,1963,3,2,1,yes,no,no,yes,no,Not present,C,None,1082 TE,Gelderlandpleinbuurt,1800
1082 KL Amsterdam (Gelderlandpleinbuurt),85.0,1964,3,2,1,yes,yes,no,yes,no,Not present,E,"Storage space, Bath, Toilet",1082 KL,Gelderlandpleinbuurt,2000
1082 GS Amsterdam (Buitenveldert Midden Zuid),121.0,1968,4,3,1,no,no,no,yes,no,Not present,None,"Lift, Shower, Bath, Toilet",1082 GS,Buitenveldert Midden Zuid,2400
1082 GS Amsterdam (Buitenveldert Midden Zuid),121.0,1968,4,3,1,no,no,no,no,no,Not present,E,None,1082 GS,Buitenveldert Midden Zuid,1950
1082 TJ Amsterdam (Gelderlandpleinbuurt),67.0,1963,3,2,1,yes,yes,yes,no,yes,Not present,E,"Storage space, Shower, Toilet",1082 TJ,Gelderlandpleinbuurt,1750
1082 TJ Amsterdam (Gelderlandpleinbuurt),67.0,1963,3,2,1,yes,yes,yes,yes,yes,Not present,E,"Storage space, Shower, Toilet",1082 TJ,Gelderlandpleinbuurt,1800
1082 LT Amsterdam (Gelderlandpleinbuurt),88.0,2004,3,2,1,no,yes,yes,yes,yes,Not present,B,"Lift, Storage space, Bath, Toilet",1082 LT,Gelderlandpleinbuurt,2150
1082 LT Amsterdam (Gelderlandpleinbuurt),88.0,2004,3,2,1,yes,yes,yes,yes,no,Not present,B,"Lift, Storage space, Shower, Bath, Toilet",1082 LT,Gelderlandpleinbuurt,2150
1082 JJ Amsterdam (Buitenveldert Midden Zuid),35.0,1980,2,1,2,yes,no,yes,yes,no,Not present,D,"Lift, Shower, Toilet",1082 JJ,Buitenveldert Midden Zuid,1115
1082 CW Amsterdam (Buitenveldert Midden Zuid),87.0,1963,4,3,1,yes,no,no,yes,no,Not present,F,None,1082 CW,Buitenveldert Midden Zuid,1450
1082 MS Amsterdam (Zuidas Zuid),112.0,2009,3,2,1,no,no,yes,yes,yes,Not present,None,"Lift, Shower, Bath, Toilet",1082 MS,Zuidas Zuid,2750
1082 NL Amsterdam (Buitenveldert Oost Midden),85.0,1986,2,1,1,yes,no,yes,yes,no,Not present,D,"Lift, Bath",1082 NL,Buitenveldert Oost Midden,1500
1082 HG Amsterdam (Buitenveldert Midden Zuid),90.0,1964,3,2,1,no,no,no,yes,no,Not present,E,Toilet,1082 HG,Buitenveldert Midden Zuid,1550
1082 ME Amsterdam (Zuidas Zuid),107.0,2008,3,2,1,yes,yes,yes,yes,yes,Not present,A,"Lift, Storage space, Shower, Bath, Toilet",1082 ME,Zuidas Zuid,2500
1082 ME Amsterdam (Zuidas Zuid),144.0,2008,3,2,2,no,yes,yes,yes,yes,Not present,None,"Swimming pool, Lift, Storage space, Bath, Toilet",1082 ME,Zuidas Zuid,4670
1082 XT Amsterdam (Gelderlandpleinbuurt),76.0,1960,2,1,1,yes,no,no,yes,no,Not present,None,None,1082 XT,Gelderlandpleinbuurt,1800
1082 HB Amsterdam (Buitenveldert Midden Zuid),90.0,1964,3,2,1,yes,no,yes,yes,no,Not present,E,Toilet,1082 HB,Buitenveldert Midden Zuid,1700
1082 GK Amsterdam (Buitenveldert Zuidoost),77.0,1966,3,2,1,yes,no,no,yes,no,Not present,None,"Lift, Bath, Toilet",1082 GK,Buitenveldert Zuidoost,1500
1082 JA Amsterdam (Buitenveldert Midden Zuid),86.0,1965,3,2,1,yes,no,yes,yes,no,Not present,E,"Lift, Toilet",1082 JA,Buitenveldert Midden Zuid,1750
1082 RH Amsterdam (Gelderlandpleinbuurt),92.0,1964,3,2,1,yes,no,yes,yes,no,Not present,E,"Shower, Toilet",1082 RH,Gelderlandpleinbuurt,1650
1082 GP Amsterdam (Buitenveldert Midden Zuid),67.0,1967,2,1,1,yes,yes,no,yes,no,Not present,F,"Lift, Storage space, Bath",1082 GP,Buitenveldert Midden Zuid,1450
1082 BJ Amsterdam (Buitenveldert Midden Zuid),65.0,1961,3,2,1,yes,yes,yes,yes,no,Not present,G,"Lift, Storage space, Bath, Toilet",1082 BJ,Buitenveldert Midden Zuid,1400
1082 TB Amsterdam (Gelderlandpleinbuurt),68.0,1960,4,3,1,yes,yes,yes,no,no,Not present,D,"Storage space, Toilet",1082 TB,Gelderlandpleinbuurt,1890
1102 TZ Amsterdam (Venserpolder West),45.0,1984,2,1,1,no,no,no,yes,no,Not present,C,"Cable TV, Internet connection, Roof terrace",1102 TZ,Venserpolder West,1365
1102 TZ Amsterdam (Venserpolder West),45.0,1984,2,1,1,no,no,no,yes,no,Not present,C,"Cable TV, Internet connection, Roof terrace",1102 TZ,Venserpolder West,1365
